date,value
"1992.08",1.6990E-03
"1992.09",2.0987E-03
"1992.10",2.6236E-03
"1992.11",3.2897E-03
"1992.12",4.0549E-03
"1993.01",0.01
"1993.02",0.01
"1993.03",0.01
"1993.04",0.01
"1993.05",0.01
"1993.06",0.02
"1993.07",0.02
"1993.08",0.03
"1993.09",0.04
"1993.10",0.05
"1993.11",0.07
"1993.12",0.10
"1994.01",0.14
"1994.02",0.20
"1994.03",0.28
"1994.04",0.40
"1994.05",0.58
"1994.06",0.84
"1994.07",0.93
"1994.08",0.90
"1994.09",0.87
"1994.10",0.85
"1994.11",0.84
"1994.12",0.85
"1995.01",0.85
"1995.02",0.84
"1995.03",0.89
"1995.04",0.91
"1995.05",0.90
"1995.06",0.91
"1995.07",0.93
"1995.08",0.94
"1995.09",0.95
"1995.10",0.96
"1995.11",0.96
"1995.12",0.97
"1996.01",0.97
"1996.02",0.98
"1996.03",0.99
"1996.04",0.99
"1996.05",1.00
"1996.06",1.00
"1996.07",1.01
"1996.08",1.01
"1996.09",1.02
"1996.10",1.03
"1996.11",1.03
"1996.12",1.04
"1997.01",1.04
"1997.02",1.05
"1997.03",1.06
"1997.04",1.06
"1997.05",1.07
"1997.06",1.07
"1997.07",1.08
"1997.08",1.09
"1997.09",1.09
"1997.10",1.10
"1997.11",1.11
"1997.12",1.11
"1998.01",1.12
"1998.02",1.13
"1998.03",1.13
"1998.04",1.14
"1998.05",1.15
"1998.06",1.15
"1998.07",1.16
"1998.08",1.17
"1998.09",1.18
"1998.10",1.19
"1998.11",1.19
"1998.12",1.21
"1999.01",1.50
"1999.02",1.91
"1999.03",1.90
"1999.04",1.69
"1999.05",1.68
"1999.06",1.77
"1999.07",1.80
"1999.08",1.88
"1999.09",1.90
"1999.10",1.97
"1999.11",1.93
"1999.12",1.84
"2000.01",1.80
"2000.02",1.78
"2000.03",1.74
"2000.04",1.77
"2000.05",1.83
"2000.06",1.81
"2000.07",1.80
"2000.08",1.81
"2000.09",1.84
"2000.10",1.88
"2000.11",1.95
"2000.12",1.96
"2001.01",1.95
"2001.02",2.00
"2001.03",2.09
"2001.04",2.19
"2001.05",2.30
"2001.06",2.38
"2001.07",2.47
"2001.08",2.51
"2001.09",2.67
"2001.10",2.74
"2001.11",2.54
"2001.12",2.36
"2002.01",2.38
"2002.02",2.42
"2002.03",2.35
"2002.04",2.32
"2002.05",2.48
"2002.06",2.71
"2002.07",2.93
"2002.08",3.11
"2002.09",3.34
"2002.10",3.81
"2002.11",3.58
"2002.12",3.63
"2003.01",3.44
"2003.02",3.59
"2003.03",3.45
"2003.04",3.12
"2003.05",2.96
"2003.06",2.88
"2003.07",2.88
"2003.08",3.00
"2003.09",2.92
"2003.10",2.86
"2003.11",2.91
"2003.12",2.93
"2004.01",2.85
"2004.02",2.93
"2004.03",2.91
"2004.04",2.91
"2004.05",3.10
"2004.06",3.13
"2004.07",3.04
"2004.08",3.00
"2004.09",2.89
"2004.10",2.85
"2004.11",2.79
"2004.12",2.72
"2005.01",2.69
"2005.02",2.60
"2005.03",2.70
"2005.04",2.58
"2005.05",2.45
"2005.06",2.41
"2005.07",2.37
"2005.08",2.36
"2005.09",2.29
"2005.10",2.26
"2005.11",2.21
"2005.12",2.29
"2006.01",2.27
"2006.02",2.16
"2006.03",2.15
"2006.04",2.13
"2006.05",2.18
"2006.06",2.25
"2006.07",2.19
"2006.08",2.16
"2006.09",2.17
"2006.10",2.15
"2006.11",2.16
"2006.12",2.15
"2007.01",2.14
"2007.02",2.10
"2007.03",2.09
"2007.04",2.03
"2007.05",1.98
"2007.06",1.93
"2007.07",1.88
"2007.08",1.97
"2007.09",1.90
"2007.10",1.80
"2007.11",1.77
"2007.12",1.79
"2008.01",1.77
"2008.02",1.73
"2008.03",1.71
"2008.04",1.69
"2008.05",1.66
"2008.06",1.62
"2008.07",1.59
"2008.08",1.61
"2008.09",1.80
"2008.10",2.17
"2008.11",2.27
"2008.12",2.39
"2009.01",2.31
"2009.02",2.31
"2009.03",2.31
"2009.04",2.21
"2009.05",2.06
"2009.06",1.96
"2009.07",1.93
"2009.08",1.85
"2009.09",1.82
"2009.10",1.74
"2009.11",1.73
"2009.12",1.75
"2010.01",1.78
"2010.02",1.84
"2010.03",1.79
"2010.04",1.76
"2010.05",1.81
"2010.06",1.81
"2010.07",1.77
"2010.08",1.76
"2010.09",1.72
"2010.10",1.69
"2010.11",1.71
"2010.12",1.69
"2011.01",1.67
"2011.02",1.67
"2011.03",1.66
"2011.04",1.59
"2011.05",1.61
"2011.06",1.59
"2011.07",1.56
"2011.08",1.60
"2011.09",1.75
"2011.10",1.77
"2011.11",1.79
"2011.12",1.84
"2012.01",1.79
"2012.02",1.72
"2012.03",1.80
"2012.04",1.85
"2012.05",1.99
"2012.06",2.05
"2012.07",2.03
"2012.08",2.03
"2012.09",2.03
"2012.10",2.03
"2012.11",2.07
"2012.12",2.08
"2013.01",2.03
"2013.02",1.97
"2013.03",1.98
"2013.04",2.00
"2013.05",2.03
"2013.06",2.17
"2013.07",2.25
"2013.08",2.34
"2013.09",2.27
"2013.10",2.19
"2013.11",2.30
"2013.12",2.35
"2014.01",2.38
"2014.02",2.38
"2014.03",2.33
"2014.04",2.23
"2014.05",2.22
"2014.06",2.24
"2014.07",2.22
"2014.08",2.27
"2014.09",2.33
"2014.10",2.45
"2014.11",2.55
"2014.12",2.64
"2015.01",2.63
"2015.02",2.82
"2015.03",3.14
"2015.04",3.04
"2015.05",3.06
"2015.06",3.11
"2015.07",3.22
"2015.08",3.51
"2015.09",3.91
"2015.10",3.88
"2015.11",3.78
"2015.12",3.87
"2016.01",4.05
"2016.02",3.97
"2016.03",3.70
"2016.04",3.57
"2016.05",3.54
"2016.06",3.42
"2016.07",3.28
"2016.08",3.21
"2016.09",3.26
"2016.10",3.19
"2016.11",3.34
"2016.12",3.35
"2017.01",3.20
"2017.02",3.10
"2017.03",3.13
"2017.04",3.14
"2017.05",3.21
"2017.06",3.30
"2017.07",3.21
"2017.08",3.15
"2017.09",3.13
"2017.10",3.19
"2017.11",3.26
"2017.12",3.29
"2018.01",3.21
"2018.02",3.24
"2018.03",3.28
"2018.04",3.41
"2018.05",3.64
"2018.06",3.77
"2018.07",3.83
"2018.08",3.93
"2018.09",4.12
"2018.10",3.76
"2018.11",3.79
"2018.12",3.88
"2019.01",3.74
"2019.02",3.72
"2019.03",3.85
"2019.04",3.90
"2019.05",4.00
"2019.06",3.86
"2019.07",3.78
"2019.08",4.02
"2019.09",4.12
"2019.10",4.09
"2019.11",4.16
"2019.12",4.11
"2020.01",4.15
"2020.02",4.34
"2020.03",4.88
"2020.04",5.33
"2020.05",5.64
"2020.06",5.20
"2020.07",5.28
"2020.08",5.46
"2020.09",5.40
"2020.10",5.63
"2020.11",5.42
"2020.12",5.15
"2021.01",5.36
"2021.02",5.42
"2021.03",5.65
"2021.04",5.56
"2021.05",5.29
"2021.06",5.03
"2021.07",5.16
"2021.08",5.25
"2021.09",5.28
"2021.10",5.54
"2021.11",5.56
"2021.12",5.65
"2022.01",5.53
"2022.02",5.20
"2022.03",4.97
"2022.04",4.76
"2022.05",4.96
"2022.06",5.05
"2022.07",5.37
"2022.08",5.14
"2022.09",5.24
"2022.10",5.25
"2022.11",5.27
"2022.12",5.24
"2023.01",5.20
"2023.02",5.17
"2023.03",5.21
"2023.04",5.02
"2023.05",4.98
